type,value
Government,1
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,100
Government,0.407101558
Government,0.433907642
Social,0.459258711
Social,0.478859636
Social,0.421156868
Social,0.597293517
Social,0.050329114
Social,0.342829542
Social,0.570880964
Social,0.420280121
Social,0.115902939
Social,0.523709009
Social,0.535777106
Social,0.324686509
Social,0.323703025
Social,0.596561307
Social,0.421520145
Social,0.389301133
Social,0.544890253
Social,0.273677192
Social,0.476354317
Social,0.407840185
Social,0.534292137
Social,0.67646631
Social,0.009359418
Social,0.553980877
Social,0.212050488
Social,0.421155473
Social,0.221069978
Social,0.231336415
Social,0.226113634
Social,0.427941424
Social,0.259811891
Social,0.402492206
Social,0.000656865
Social,0.444482561
Social,0.197411827
Social,0.102321049
Social,0.520889869
Social,0.705075253
Social,0.307154686
Social,0.440405927
Social,0.432071346
Social,0.412581846
Social,0.768148834
Social,0.153862366
Social,0.094012727
Social,0.559421309
Social,0.706123051
Social,0.090575186
Social,0.3893472
Social,0.219534916
Social,0.326468576
Social,0.415066202
Social,0.055608656
Social,0.142851167
Social,0.400096902
Social,0.274047286
Social,0.295081949
Social,0.426480518
Social,0.29906456
Social,0.493244024
Social,0.346478529
Social,0.3776208
Social,0.546959121
Social,0.462178507
Social,0.344800448
Social,0.469724425
Social,0.329454555
Social,0.12435068
Social,0.051782062
Social,0.410594888
Social,0.035770854
Social,0.425378215
Social,0.150568264
Social,0.629108371
Social,0.487767418
Social,0.642146127
Social,0.408364255
Social,0.455748216
Social,0.421812695
Social,0.084588052
Social,0.124107237
Social,0.022401341
Social,0.366380791
Social,0.526632138
Social,0.478462454
Social,0.131403901
Social,0.453640543
Social,0.02631632
Social,0.497327254
Social,0.158265278
Social,0.340909486
Social,0.054023121
Social,0.567257054
Social,0.599165198
Social,0.387554773
Social,0.280308573
Social,0.24448706
Social,0.199238394
Social,0.104976036
Social,0.243123173
Environmental,0.249919233
Environmental,0.004727634
Environmental,0.053786327
Environmental,0.316110258
Environmental,0.447889932
Environmental,0.185620189
Environmental,0.426680552
Environmental,0.442384855
Environmental,0.179320672
Environmental,0.376693357
Environmental,0.147140574
Environmental,0.271252554
Environmental,0.311131884
Environmental,0.170764202
Environmental,0.271794201
Environmental,0.187387238
Environmental,0.202406617
Environmental,0.172943875
Environmental,0.323079798
Environmental,0.499962692
Environmental,0.43002955
Environmental,0.091013458
Environmental,0.580680789
Environmental,0.120210864
Environmental,0.369482851
Environmental,0.072755943
Environmental,0.641229717
Environmental,0.266011444
Environmental,0.356718382
Environmental,0.304190408
Environmental,0.201124665
Environmental,0.198634454
Environmental,0.518305909
Environmental,0.160131274
Environmental,0.549785752
Environmental,0.376715949
Environmental,0.216676459
Environmental,0.234572566
Environmental,0.405265396
Environmental,0.05097816
Environmental,0.338338335
Environmental,0.28230506
Environmental,0.036355787
Environmental,0.449909918
Environmental,0.189584925
Environmental,0.039937972
Environmental,0.00984905
Environmental,0.287648893
Environmental,0.339989495
Environmental,0.278307787
Environmental,0.160613469
Environmental,0.312805535
Environmental,0.486582266
Environmental,0.385530313
Environmental,0.08475623
Environmental,0.55858199
Environmental,0.119200668
Environmental,0.306587781
Environmental,0.436996633
Environmental,0.175219544
Environmental,0.080647409
Environmental,0.274134432
Environmental,0.087072046
Environmental,0.452147766
Environmental,0.571800291
Environmental,0.346047319
Environmental,0.41049171
Environmental,0.443621696
Environmental,0.397956864
Environmental,0.570859721
Environmental,0.289446116
Environmental,0.362585741
Environmental,0.717920617
Environmental,0.328590356
Environmental,0.186138945
Environmental,0.058492072
Environmental,0.414976657
Environmental,0.110523231
Environmental,0.384785612
Environmental,0.290098241
Environmental,0.238234774
Environmental,0.329840562
Environmental,0.492432252
Environmental,0.386157571
Environmental,0.062139503
Environmental,0.35843425
Environmental,0.308737
Environmental,0.468841393
Environmental,0.439899827
Environmental,0.536009752
Environmental,0.188521112
Environmental,0.82423968
Environmental,0.24412988
